"Player","Pos","Team","Avg","W-1","W-2","W-3","W-4","W-5","W-6","W-7","W-8","W-9","W-10","W-11","W-12","W-13","W-14","W-15","W-16","W-17"
"D'Andre Swift","RB","DET","0.3875","0.436","0.339","","","","","","","","","","","","","","",""
"Chris Conley","WR","JAC","0.3865","0.32","0.453","","","","","","","","","","","","","","",""
"Mark Ingram","RB","BAL","0.3855","0.356","0.415","","","","","","","","","","","","","","",""
"Jason Witten","TE","LVR","0.3845","0.444","0.325","","","","","","","","","","","","","","",""
"Gerald Everett","TE","LAR","0.382","0.329","0.435","","","","","","","","","","","","","","",""
"Ross Dwelley","TE","SF","0.376","0.113","0.639","","","","","","","","","","","","","","",""
"Giovani Bernard","RB","CIN","0.3755","0.294","0.457","","","","","","","","","","","","","","",""
"Boston Scott","RB","PHI","0.371","0.559","0.183","","","","","","","","","","","","","","",""
"Ryan Griffin","TE","NYJ","0.368","0.321","0.415","","","","","","","","","","","","","","",""
"Darrell Daniels","TE","ARI","0.3645","0.171","0.558","","","","","","","","","","","","","","",""
"MyCole Pruitt","TE","TEN","0.3635","0.383","0.344","","","","","","","","","","","","","","",""
"Braxton Berrios","WR","NYJ","0.354","0","0.708","","","","","","","","","","","","","","",""
"Luke Stocker","TE","ATL","0.3515","0.316","0.387","","","","","","","","","","","","","","",""
"J.K. Dobbins","RB","BAL","0.349","0.39","0.308","","","","","","","","","","","","","","",""
"Blake Jarwin","TE","DAL","0.347","0.347","","","","","","","","","","","","","","","",""
"Chase Edmonds","RB","ARI","0.346","0.341","0.351","","","","","","","","","","","","","","",""
"Kalif Raymond","WR","TEN","0.3405","0.222","0.459","","","","","","","","","","","","","","",""
"Damion Ratley","WR","NYG","0.34","0.265","0.415","","","","","","","","","","","","","","",""
"Durham Smythe","TE","MIA","0.3385","0.21","0.467","","","","","","","","","","","","","","",""
"Cole Kmet","TE","CHI","0.338","","0.338","","","","","","","","","","","","","","",""
"Chase Claypool","WR","PIT","0.333","0.297","0.369","","","","","","","","","","","","","","",""
"Jakeem Grant","WR","MIA","0.3325","0.532","0.133","","","","","","","","","","","","","","",""
"Chris Thompson","RB","JAC","0.3265","0.24","0.413","","","","","","","","","","","","","","",""
"Nyheim Hines","RB","IND","0.325","0.527","0.123","","","","","","","","","","","","","","",""
"Josh Malone","WR","NYJ","0.323","0","0.646","","","","","","","","","","","","","","",""
"Phillip Lindsay","RB","DEN","0.322","0.322","","","","","","","","","","","","","","","",""
"JJ Arcega-Whiteside","WR","PHI","0.3185","0.412","0.225","","","","","","","","","","","","","","",""
"Anthony Firkser","TE","TEN","0.3125","0.395","0.23","","","","","","","","","","","","","","",""
"Greg Ward","WR","PHI","0.312","0.441","0.183","","","","","","","","","","","","","","",""
"Deonte Harris","WR","NO","0.31","0.103","0.517","","","","","","","","","","","","","","",""
"Jordan Reed","TE","SF","0.31","0.161","0.459","","","","","","","","","","","","","","",""
"Josiah Deguara","TE","GB","0.308","0.308","","","","","","","","","","","","","","","",""
"Benny Snell Jr.","RB","PIT","0.3035","0.453","0.154","","","","","","","","","","","","","","",""
"Latavius Murray","RB","NO","0.3025","0.338","0.267","","","","","","","","","","","","","","",""
"James White","RB","NE","0.297","0.297","","","","","","","","","","","","","","","",""
"Cyril Grayson","WR","TB","0.295","","0.295","","","","","","","","","","","","","","",""
"Foster Moreau","TE","LVR","0.295","0.19","0.4","","","","","","","","","","","","","","",""
"Tevin Coleman","RB","SF","0.2945","0.097","0.492","","","","","","","","","","","","","","",""
"Kerryon Johnson","RB","DET","0.289","0.256","0.322","","","","","","","","","","","","","","",""
"Carlos Hyde","RB","SEA","0.2885","0.339","0.238","","","","","","","","","","","","","","",""
"Nick Vannett","TE","DEN","0.285","0.271","0.299","","","","","","","","","","","","","","",""
"Mike Thomas","WR","CIN","0.2845","0.221","0.348","","","","","","","","","","","","","","",""
