"Year","Player","Age","Position","School","Height","Weight","BMI","SpeedScore","FortyDash","Vertical","Bench","BroadJump","ThreeCone","Shuttle"
"2002","Mike Banks","22.33","TE","Iowa State","76","260","31.64","94.26","4.84","31.5","","104","",""
"2002","Will Bartholomew","","RB","Tennessee","72","246","33.36","102.56","4.68","38","35","119","6.85","4.09"
"2002","Jarrod Baxter","22.99","RB","New Mexico","73","245","32.32","100.42","4.7","32.5","23","116","7.1","4.27"
"2002","Atrews Bell","","WR","Florida State","71","218","30.4","101.59","4.52","","","","",""
"2002","Ladell Betts","22.53","RB","Iowa","70","220","31.56","96.58","4.62","38","23","116","7.06","4.06"
"2002","Dwayne Blakley","22.57","TE","Missouri","77","256","30.35","85.26","4.96","32.5","21","107","7.33","4.29"
"2002","Deion Branch","22.64","WR","Louisville","69","191","28.2","90.44","4.47","36","","117","6.71","3.78"
"2002","Antonio Bryant","20.99","WR","Pittsburgh","73","188","24.8","86.2","4.57","37","","121","",""
"2002","Joe Burns","22.47","RB","Georgia Tech","69","213","31.45","79.58","4.81","31","21","105","",""
"2002","Reche Caldwell","22.94","WR","Florida","72","194","26.31","90.88","4.53","41.5","","130","7","4.1"
"2002","Kelly Campbell","21.62","WR","Georgia Tech","70","171","24.53","81.41","4.48","","","","",""
"2002","David Carr","22.63","QB","Fresno State","75","223","27.87","93.77","4.67","35","","108","7.05","4.28"
"2002","Tim Carter","22.46","WR","Auburn","72","190","25.77","107.61","4.32","39","","126","6.68","3.93"
"2002","Demontray Carter","","RB","Troy","70","191","27.4","91.52","4.52","33","16","120","7.38","4.36"
"2002","Rock Cartwright","22.26","RB","Kansas State","68","237","36.03","118.73","4.47","35","30","116","7.18","4.25"
"2002","Terry Charles","","WR","Portland State","75","207","25.87","101.9","4.52","36.5","","122","7.02","4.09"
"2002","Eric Crouch","","RB","Nebraska","72","195","26.44","97.69","4.47","38","","112","6.87","4.02"
"2002","Ronald Curry","22.78","QB","North Carolina","74","220","28.24","99.13","4.59","35","","115","7.06","4.11"
"2002","Woody Dantzler","","QB","Clemson","70","207","29.7","93.27","4.59","","","","",""
"2002","Najeh Davenport","23.07","RB","Miami (FL)","73","248","32.72","113.71","4.57","","","","",""
"2002","Rohan Davey","23.9","QB","LSU","74","245","31.45","97.07","4.74","","","","",""
