Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Cam Akers,LAR,RB,2020,1,37,38,22,60,443,1,1.7%,0.0%,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,0.00%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.00%,0.00,-,0,0,0,0,0.00,0.0,0.0,64
Cam Newton,NE,QB,2011,1,27,27,25,57,147,57,100.0%,-,-,17,25,157,0,2,68.00%,0.00%,6.3,2.7,149,61,6.0,51.6,-0.50,10,76,1,10.00%,7.6,-,-,-,-,0,1,1,3.70%,-,100%,-,-,16,16.0,16.0,-,0,0.00%,0.59,-,-,-,-,12,11,92,1,1.61,18.5,-2.9,11
Cameron Batson,TEN,WR,2018,1,41,41,36,75,307,20,26.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,1,2.40%,0,100%,0,-,13,13.0,13.0,12.0,0,0.00%,0.32,12,3.90%,0.06,1.08,1,1,13,0,0.17,2.3,0.6,72
Carlos Hyde,SEA,RB,2014,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Carson Wentz,PHI,QB,2016,1,39,40,19,72,381,72,100.0%,-,-,21,40,213,2,0,52.50%,5.00%,5.3,6.3,381,159,9.5,84.7,-2.60,5,49,1,20.00%,9.8,-,-,-,-,1,0,0,0.00%,-,-,-,-,0,-,-,-,0,-,0.00,-,-,-,-,0,5,49,1,0.68,25.4,2.6,6
Cedrick Wilson,DAL,WR,2018,1,52,54,40,89,299,25,28.1%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,3,5.80%,-,67%,-,-,10,5.0,3.3,10.0,0,0.00%,0.19,30,10.00%,0.16,0.33,8,2,10,0,0.11,3.0,-2.2,69
CeeDee Lamb,DAL,WR,2020,1,52,54,40,89,299,54,60.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,7,10,19.20%,0,70%,0,-,64,9.1,6.4,7.7,0,0.00%,1.19,77,25.80%,0.47,0.83,37,7,64,0,0.72,13.4,-1.9,25
Chase Claypool,PIT,WR,2020,1,23,23,34,65,173,51,78.5%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,7,1,50.00%,3.5,-,-,-,-,0,4,4,17.40%,0,100%,0,-,74,18.5,18.5,12.3,0,0.00%,3.22,49,28.30%,0.46,1.51,25,6,81,1,1.25,18.1,8.7,12
Chase Edmonds,ARI,RB,2018,1,22,24,29,62,240,23,37.1%,24.1%,6.1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,5,23,0,0.00%,4.6,0,0,0.00%,0,0,1,2,9.10%,0,50%,0,-,6,6.0,3.0,7.5,0,0.00%,0.25,15,6.30%,0.18,0.40,9,6,29,0,0.47,3.9,-2.1,45
Chris Carson,SEA,RB,2017,0,0,0,0,0,0,0,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Chris Conley,JAC,WR,2015,1,44,44,21,64,417,15,23.4%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,1,2,4.50%,0,50%,0,-,6,6.0,3.0,4.0,0,0.00%,0.14,8,1.90%,0.08,0.75,6,1,6,0,0.09,1.6,-0.4,85
